,Ua022,Ua023,Ua024,Ua036,Ua046,Ua052,Ua073,Ua130,Ua021,Ua034,Ua040,Ua043,Ua044,Ua045,Ua049,Ua050,Ua057,Ua062,Ua064,Ua067,Ua069,Ua072,Ua074,Ua077,Ua079,Ua083,Ua084,Ua088,Ua089,Ua090,Ua091,Ua095,Ua096,Ua097,Ua098,Ua104,Ua105,Ua106,Ua107,Ua112,Ua117,Ua119,Ua121,Ua125,Ua128,Ua129,Ua131,Ua133,Ua134,Ua136
,pre,pre,pre,pre,pre,pre,pre,pre,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post
2203204,0,0,0,654,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,4,0,862,0,0,6,0,170,0,0,0,5,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0
1890,0,0,0,643,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,4,0,850,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0
1889,0,0,0,895,0,0,0,0,0,268,0,0,0,60,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,0,0,0,788,0,0,0,0,92,277,0,0,0,81,0,0,0,0,0,10,0,0,5,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,135,0,0,0,277,0
1916,0,512,460,1096,27,241,564,17,0,296,0,0,0,46,0,0,432,202,138,47,0,0,0,0,0,455,425,0,0,220,82,942,687,0,0,0,1471,2847,1276,955,1657,156,0,0,151,0,0,140,1117,48
1894,0,0,217,1015,0,257,0,0,101,399,0,0,0,83,0,0,0,194,0,0,50,0,2,0,1228,0,0,0,0,217,0,0,359,0,0,0,626,1805,725,0,1430,0,0,0,146,0,332,0,401,0
216816,0,480,264,1630,0,224,0,10,186,539,458,2172,0,131,0,492,391,286,0,17,0,0,4,0,1924,994,480,6,0,289,0,688,308,12,0,0,447,0,752,0,961,207,0,342,243,0,0,0,431,58
1502,2034,457,360,0,0,0,761,17,3079,884,2551,0,169,0,0,0,1121,0,473,0,416,26688,2,0,0,0,443,0,0,2516,0,607,383,0,13291,0,1343,1352,0,386,1388,140,2510,737,0,0,413,0,320,38
1307,1614,14151,6426,25453,3130,12834,51003,1100,1861,11677,878,29538,13451,543,3969,21560,16769,1335,744,130,15157,3853,6,44016,83952,3195,9776,2087,84719,3640,1406,34828,6556,164,2227,50586,38735,208247,3928,10392,42775,7245,12315,10326,11410,221991,7732,18909,4830,669
1314,2239,4523,1571,2177,141,2549,5061,334,1761,1493,1910,6239,1835,71,1064,1402,7407,784,689,9,1556,4009,16,15846,11892,1886,1901,78,5674,1672,114,7587,2462,42,500,7287,9583,15499,1361,2212,10631,2817,902,1467,1233,17495,2759,1257,1842,607
1311,2038,3656,1830,6389,654,3035,12154,244,1062,2790,1983,9117,5390,222,1348,3075,15059,658,1850,60,5780,2453,92,27754,18138,2150,5934,269,19228,2755,370,12979,4822,102,748,16652,21900,64438,2681,4736,26155,3258,1071,6465,1538,67390,3987,6397,4215,737
1303,414,1035,444,1078,200,795,2895,42,274,850,517,2642,1038,61,351,803,2310,0,0,19,1046,1819,0,6444,4874,0,1152,87,3623,651,152,1589,1106,23,158,2997,4139,15973,698,811,3727,479,875,758,750,16375,927,1509,706,40
1313,1334,1624,863,4304,426,1681,7437,199,721,2621,1287,4655,2132,48,590,2138,6532,742,130,24,3657,4249,0,10095,15182,1643,2974,398,8686,1102,426,3248,2509,29,503,9149,10716,32113,5836,1447,10153,2802,1965,2297,1346,46258,1635,3467,1445,320
150055,0,532,0,0,71,0,482,10,0,0,0,3321,304,0,0,0,0,0,0,0,543,0,0,0,0,0,0,36,0,0,665,0,0,0,0,0,738,3031,0,0,0,0,2277,0,123,10516,0,642,0,0
113107,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3177,0,0,0,0,0,0,0,2742,0,261,0,0
1598,0,0,0,0,0,0,372,0,0,0,849,0,172,0,0,0,419,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,503,0,0,0,0
1352,55993,1444,748,1354,20,1070,2706,49,591,1867,3874,15705,824,0,503,0,3236,155,703,7,172,2328,3,8483,4357,444,888,57,1833,662,52,2076,1737,0,195,5903,6874,3164,2670,1044,3202,690,666,1552,347,2311,1130,338,1563,187
1351,35518,7399,374,1285,43,509,4786,17,3431,6961,19902,9452,911,77,490,474,3316,184,32901,39,14430,599036,39,37591,12745,986,1263,10110,218697,7912,77,1577,1640,4,1234,4379,71360,2725,1520,963,3569,713,3054,8258,228,4291,1874,24690,1715,0
1354,0,0,0,0,0,204,972,0,125,0,1195,1290,351,0,0,0,1395,0,152,0,2835,0,0,0,1138,0,0,24,0,322,0,627,676,0,0,0,2172,0,0,332,1259,213,0,386,0,613,342,0,498,0
53345,27288,394,0,0,0,0,1077,10,165,0,1461,1822,426,0,0,0,1221,0,224,0,46,0,0,0,1342,0,0,10,0,250,26,572,599,0,0,0,2482,1300,0,402,1049,217,0,515,0,957,370,103,449,0
1353,2153,3018,0,0,0,0,0,0,0,373,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,584,0,0,459,0,0,0,0
1280,2430,4571,7764,9859,54,2560,7428,13,1055,1679,27573,6871,1479,3101,2289,3922,11590,1041,373,0,11077,0,0,21353,20500,1266,4653,5,3907,2032,43,7607,4468,0,154,9927,31853,6567,6621,4225,10529,10017,2062,5477,4241,2615,2331,807,4965,483
1282,0,0,0,0,0,0,454,0,0,0,1481,0,0,0,0,0,473,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,173,0,0,0,0,0,0
1296,625,0,0,0,0,0,0,0,692,0,1583,0,0,0,0,0,0,0,0,0,0,0,11,0,1324,0,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,2061,197,0,0,0,2445,0,0
69966,3777,0,548,0,0,0,3444,0,121,600,1398,0,137,170,0,0,0,225,0,211,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5555,0,0,0,0,141,16730,247,0,0,0,396,0,0
1396,1004,1648,1030,1016,49,343,2576,47,550,433,22170,2595,720,393,1628,1148,2971,371,191,9,67,3348,0,6283,3139,647,1406,40,43791,1039,30,1531,1136,0,231,3244,3992,3930,1808,967,2958,442,1172,1947,288,2229,1473,819,1926,99
1428,1211,2025,712,1599,27,665,2719,25,882,676,13367,3159,782,195,660,792,2937,228,327,111,71,0,0,6606,6952,727,1072,13,34377,2287,25,2345,1929,0,101,4504,6596,6224,2646,1733,7284,735,482,1368,697,1456,2103,659,2548,220
1392,586,1509,485,2539,0,713,4275,0,143,0,6885,3304,546,0,741,392,5429,0,123,0,287,0,0,8265,6369,0,1057,0,21571,1056,90,1950,2082,0,0,4184,8765,4156,2818,2509,4033,1298,0,0,478,2573,776,0,3736,0
1423,978,1378,669,3023,21,426,1781,17,226,610,18851,3455,477,59,639,1230,2759,280,0,0,114,0,6,6799,3629,909,1289,20,1909,827,0,2009,1193,15,189,2962,3531,3354,2163,1218,5067,536,689,1191,586,1985,1162,333,1466,109
1402,615,705,0,0,0,0,0,0,0,0,554,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,0,0,0,0,0,0,0,0,0,0,4480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,207,0,0,0,98,0,0
1422,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1639,1147,542,647,0,0,252,2321,73,218,0,12744,2729,552,89,359,0,3077,237,181,0,63,1917,0,5854,2643,0,956,8,1447,485,0,1410,1187,0,186,3962,6044,3519,1824,780,2221,659,1187,648,419,2306,857,433,1500,52
287,20912,9805,3742,19118,293,23971,5613,203,3091,18062,1961,9905,1059,901,20160,3811,14076,3738,3784,181,249,61848,73,99105,18227,6264,22476,19,146458,1947,381,25000,11696,47,1870,94696,14152,34589,22408,11091,932537,3858,124761,2700,2123,2399,12985,13728,12697,928
303,377880,9147,58979,7933,813,16909,37783,828,1225,41749,701,9986,865,3040,82879,3715,5011,3565,29371,1897,2743,5122790,220,508044,12174,5538,6749,14,257191,57009,579,6072,32903,38,7949,56084,7143,25784,11736,3045,68459,1650,29582,16379,1447,1700,4091,1472,5174,389
